time,CE_CHOI,PE_CHOI,PE_CE_CHOI_DIFF,PCR,nifty,CE_IO_INC,PE_IO_INC
09:46:20,522225.0,2414925.0,1892700.0,4.624299870745368,13195.65,19.692855930765315,20.90776273497614
09:52:20,709350.0,2590125.0,1880775.0,3.651406216959188,13239.5,24.986130557683673,22.089535054784093
09:55:50,882150.0,2625600.0,1743450.0,2.9763645638496854,13277.6,29.290036606320193,22.324537349981508
10:01:20,1091850.0,2383425.0,1291575.0,2.1829234784997937,13263.25,33.89285963727796,20.69147377673601
10:07:21,1158450.0,2400525.0,1242075.0,2.0721869739738445,13296.35,35.231860587121645,20.809034346901758
10:11:21,1250250.0,2424375.0,1174125.0,1.939112177564487,13319.65,36.991012981249305,20.97241956517508
10:17:21,1514700.0,2326500.0,811800.0,1.5359477124183007,13305.95,41.56325245415818,20.297593341447136
10:22:21,2103525.0,2487075.0,383550.0,1.1823367918137413,13325.6,49.69171893270968,21.398749411164957
10:26:21,2366475.0,2476200.0,109725.0,1.0463664310842076,13325.05,52.633949422833126,21.32513467078322
10:31:21,2934525.0,2491050.0,-443475.0,0.8488767347356045,13304.55,57.94703948342762,21.42562250032254
10:37:21,3017100.0,2729025.0,-288075.0,0.9045192403301183,13312.95,58.621744896026115,23.001649883370316
10:41:51,2986275.0,3018675.0,32400.0,1.0108496370896853,13313.45,58.37242713891983,24.836629539353925
10:47:22,3087450.0,3218250.0,130800.0,1.0423650585434583,13280.15,59.17971277008669,26.05089973044513
10:53:22,3169725.0,3648600.0,478875.0,1.1510777748858338,13297.85,59.81346768943361,28.54025132880425
10:56:52,3104925.0,3611700.0,506775.0,1.1632165028140777,13269.35,59.31598704759722,28.333392170014477
11:01:52,3150225.0,3696000.0,545775.0,1.1732495297954908,13287.75,59.665047302480176,28.804227113849173
11:05:52,3253575.0,3936675.0,683100.0,1.2099536663516286,13292.9,60.43942264823896,30.11503485470036
11:11:52,3265950.0,4037025.0,771075.0,1.236095163734901,13284.75,60.53015665614879,30.647429583278768
11:17:52,3279450.0,4299225.0,1019775.0,1.3109591547363124,13244.8,60.62866571456303,32.000960201865695
11:22:52,3309450.0,4604400.0,1294950.0,1.3912885826950097,13249.05,60.845823968229894,33.51128287426718
11:26:22,3335625.0,4844175.0,1508550.0,1.4522540753232154,13252.4,61.03334705640181,34.65168057083076
11:39:53,3540525.0,4975650.0,1435125.0,1.4053424280297413,13217.2,62.44146980238619,35.26053957522801
11:43:23,3715275.0,5144100.0,1428825.0,1.3845812221168017,13225.15,63.56438946774111,36.02424446148513
11:48:53,3806250.0,5081475.0,1275225.0,1.3350344827586207,13265.85,64.12281255922674,35.742433754134595
11:52:53,3820425.0,4901475.0,1081050.0,1.2829659003906633,13257.3,64.2082839640003,34.918438333181946
11:58:23,3891375.0,4867200.0,975825.0,1.2507661173749638,13256.3,64.63004484304933,34.75913487804094
12:04:53,3976800.0,4660650.0,683850.0,1.1719598672299336,13248.45,65.12484800845012,33.78237327940505
12:09:23,4044450.0,4833825.0,789375.0,1.1951748692652895,13251.6,65.50697877819755,34.60326323305969
12:13:23,4181850.0,4887825.0,705975.0,1.1688188242045985,13245.95,66.25788741934335,34.8550891286094
12:18:53,4556850.0,4927125.0,370275.0,1.0812567892294018,13225.45,68.15025854430024,35.037146468552166
13:27:25,4862925.0,5986050.0,1123125.0,1.23095667730841,13324.3,69.54437222472488,39.58635056046027
13:32:55,4767900.0,5964150.0,1196250.0,1.2508966211539672,13295.25,69.12479476333903,39.498728443137566
13:37:25,4759575.0,6091500.0,1331925.0,1.2798411622886496,13323.35,69.08748475875282,40.00472845842404
13:42:25,4668675.0,6220575.0,1551900.0,1.332406946296326,13360.75,68.6741538325758,40.509018447156734
13:48:56,4453725.0,6303825.0,1850100.0,1.4154050822626003,13341.4,67.65134771810705,40.829799326717094
13:53:26,4361175.0,6403950.0,2042775.0,1.4684001444564825,13364.2,67.19009983361065,41.211050619715046
13:57:26,4257150.0,6537525.0,2280375.0,1.5356576582925197,13356.6,66.6557065185481,41.71208720743828
14:02:56,4187325.0,6646425.0,2459100.0,1.5872723039171786,13389.2,66.287132239451,42.1142925032672
14:08:56,3778875.0,6697725.0,2918850.0,1.7724124243326387,13391.85,63.956587966488954,42.301844071072296
14:11:56,3699975.0,6871200.0,3171225.0,1.857093629011007,13412.1,63.468762865376696,42.92715839979009
14:17:56,3404400.0,6881100.0,3476700.0,2.0212372224180473,13443.1,61.51761150338135,42.96243573054122
14:23:26,2945475.0,6868800.0,3923325.0,2.331983805668016,13440.1,58.03777265472602,42.91859974694222
14:26:57,2962800.0,6968175.0,4005375.0,2.3518884163629,13422.15,58.18053285026289,43.270847402370585
14:32:57,2843400.0,7147350.0,4303950.0,2.513663220088626,13436.75,57.17646703967907,43.89509175326111
