,strike_price,CE_OI_@09:41:27,CE_CHOI_@09:41:27,CE_IV_@09:41:27,CE_LTP_@09:41:27,PE_OI_@09:41:27,PE_CHOI_@09:41:27,PE_IV_@09:41:27,PE_LTP_@09:41:27,NIFTY@09:41:27,CE_VOL_@09:41:27,PE_VOL_@09:41:27,CE_LTP_CHG_@09:41:27,PE_LTP_CHG_@09:41:27,CE_OI_@09:45:58,CE_CHOI_@09:45:58,CE_IV_@09:45:58,CE_LTP_@09:45:58,PE_OI_@09:45:58,PE_CHOI_@09:45:58,PE_IV_@09:45:58,PE_LTP_@09:45:58,NIFTY@09:45:58,CE_VOL_@09:45:58,PE_VOL_@09:45:58,CE_LTP_CHG_@09:45:58,PE_LTP_CHG_@09:45:58,CE_OI_@09:51:58,CE_CHOI_@09:51:58,CE_IV_@09:51:58,CE_LTP_@09:51:58,PE_OI_@09:51:58,PE_CHOI_@09:51:58,PE_IV_@09:51:58,PE_LTP_@09:51:58,NIFTY@09:51:58,CE_VOL_@09:51:58,PE_VOL_@09:51:58,CE_LTP_CHG_@09:51:58,PE_LTP_CHG_@09:51:58,CE_OI_@09:55:58,CE_CHOI_@09:55:58,CE_IV_@09:55:58,CE_LTP_@09:55:58,PE_OI_@09:55:58,PE_CHOI_@09:55:58,PE_IV_@09:55:58,PE_LTP_@09:55:58,NIFTY@09:55:58,CE_VOL_@09:55:58,PE_VOL_@09:55:58,CE_LTP_CHG_@09:55:58,PE_LTP_CHG_@09:55:58,CE_OI_@10:01:28,CE_CHOI_@10:01:28,CE_IV_@10:01:28,CE_LTP_@10:01:28,PE_OI_@10:01:28,PE_CHOI_@10:01:28,PE_IV_@10:01:28,PE_LTP_@10:01:28,NIFTY@10:01:28,CE_VOL_@10:01:28,PE_VOL_@10:01:28,CE_LTP_CHG_@10:01:28,PE_LTP_CHG_@10:01:28,CE_OI_@10:06:28,CE_CHOI_@10:06:28,CE_IV_@10:06:28,CE_LTP_@10:06:28,PE_OI_@10:06:28,PE_CHOI_@10:06:28,PE_IV_@10:06:28,PE_LTP_@10:06:28,NIFTY@10:06:28,CE_VOL_@10:06:28,PE_VOL_@10:06:28,CE_LTP_CHG_@10:06:28,PE_LTP_CHG_@10:06:28,CE_OI_@10:11:28,CE_CHOI_@10:11:28,CE_IV_@10:11:28,CE_LTP_@10:11:28,PE_OI_@10:11:28,PE_CHOI_@10:11:28,PE_IV_@10:11:28,PE_LTP_@10:11:28,NIFTY@10:11:28,CE_VOL_@10:11:28,PE_VOL_@10:11:28,CE_LTP_CHG_@10:11:28,PE_LTP_CHG_@10:11:28,CE_OI_@10:16:28,CE_CHOI_@10:16:28,CE_IV_@10:16:28,CE_LTP_@10:16:28,PE_OI_@10:16:28,PE_CHOI_@10:16:28,PE_IV_@10:16:28,PE_LTP_@10:16:28,NIFTY@10:16:28,CE_VOL_@10:16:28,PE_VOL_@10:16:28,CE_LTP_CHG_@10:16:28,PE_LTP_CHG_@10:16:28,CE_OI_@10:21:28,CE_CHOI_@10:21:28,CE_IV_@10:21:28,CE_LTP_@10:21:28,PE_OI_@10:21:28,PE_CHOI_@10:21:28,PE_IV_@10:21:28,PE_LTP_@10:21:28,NIFTY@10:21:28,CE_VOL_@10:21:28,PE_VOL_@10:21:28,CE_LTP_CHG_@10:21:28,PE_LTP_CHG_@10:21:28,CE_OI_@10:24:58,CE_CHOI_@10:24:58,CE_IV_@10:24:58,CE_LTP_@10:24:58,PE_OI_@10:24:58,PE_CHOI_@10:24:58,PE_IV_@10:24:58,PE_LTP_@10:24:58,NIFTY@10:24:58,CE_VOL_@10:24:58,PE_VOL_@10:24:58,CE_LTP_CHG_@10:24:58,PE_LTP_CHG_@10:24:58,CE_OI_@10:30:59,CE_CHOI_@10:30:59,CE_IV_@10:30:59,CE_LTP_@10:30:59,PE_OI_@10:30:59,PE_CHOI_@10:30:59,PE_IV_@10:30:59,PE_LTP_@10:30:59,NIFTY@10:30:59,CE_VOL_@10:30:59,PE_VOL_@10:30:59,CE_LTP_CHG_@10:30:59,PE_LTP_CHG_@10:30:59,CE_OI_@10:36:29,CE_CHOI_@10:36:29,CE_IV_@10:36:29,CE_LTP_@10:36:29,PE_OI_@10:36:29,PE_CHOI_@10:36:29,PE_IV_@10:36:29,PE_LTP_@10:36:29,NIFTY@10:36:29,CE_VOL_@10:36:29,PE_VOL_@10:36:29,CE_LTP_CHG_@10:36:29,PE_LTP_CHG_@10:36:29,CE_OI_@10:41:29,CE_CHOI_@10:41:29,CE_IV_@10:41:29,CE_LTP_@10:41:29,PE_OI_@10:41:29,PE_CHOI_@10:41:29,PE_IV_@10:41:29,PE_LTP_@10:41:29,NIFTY@10:41:29,CE_VOL_@10:41:29,PE_VOL_@10:41:29,CE_LTP_CHG_@10:41:29,PE_LTP_CHG_@10:41:29,CE_OI_@10:46:59,CE_CHOI_@10:46:59,CE_IV_@10:46:59,CE_LTP_@10:46:59,PE_OI_@10:46:59,PE_CHOI_@10:46:59,PE_IV_@10:46:59,PE_LTP_@10:46:59,NIFTY@10:46:59,CE_VOL_@10:46:59,PE_VOL_@10:46:59,CE_LTP_CHG_@10:46:59,PE_LTP_CHG_@10:46:59,CE_OI_@10:50:59,CE_CHOI_@10:50:59,CE_IV_@10:50:59,CE_LTP_@10:50:59,PE_OI_@10:50:59,PE_CHOI_@10:50:59,PE_IV_@10:50:59,PE_LTP_@10:50:59,NIFTY@10:50:59,CE_VOL_@10:50:59,PE_VOL_@10:50:59,CE_LTP_CHG_@10:50:59,PE_LTP_CHG_@10:50:59,CE_OI_@10:55:59,CE_CHOI_@10:55:59,CE_IV_@10:55:59,CE_LTP_@10:55:59,PE_OI_@10:55:59,PE_CHOI_@10:55:59,PE_IV_@10:55:59,PE_LTP_@10:55:59,NIFTY@10:55:59,CE_VOL_@10:55:59,PE_VOL_@10:55:59,CE_LTP_CHG_@10:55:59,PE_LTP_CHG_@10:55:59,CE_OI_@11:02:29,CE_CHOI_@11:02:29,CE_IV_@11:02:29,CE_LTP_@11:02:29,PE_OI_@11:02:29,PE_CHOI_@11:02:29,PE_IV_@11:02:29,PE_LTP_@11:02:29,NIFTY@11:02:29,CE_VOL_@11:02:29,PE_VOL_@11:02:29,CE_LTP_CHG_@11:02:29,PE_LTP_CHG_@11:02:29,CE_OI_@11:06:29,CE_CHOI_@11:06:29,CE_IV_@11:06:29,CE_LTP_@11:06:29,PE_OI_@11:06:29,PE_CHOI_@11:06:29,PE_IV_@11:06:29,PE_LTP_@11:06:29,NIFTY@11:06:29,CE_VOL_@11:06:29,PE_VOL_@11:06:29,CE_LTP_CHG_@11:06:29,PE_LTP_CHG_@11:06:29,CE_OI_@11:11:59,CE_CHOI_@11:11:59,CE_IV_@11:11:59,CE_LTP_@11:11:59,PE_OI_@11:11:59,PE_CHOI_@11:11:59,PE_IV_@11:11:59,PE_LTP_@11:11:59,NIFTY@11:11:59,CE_VOL_@11:11:59,PE_VOL_@11:11:59,CE_LTP_CHG_@11:11:59,PE_LTP_CHG_@11:11:59,CE_OI_@11:15:30,CE_CHOI_@11:15:30,CE_IV_@11:15:30,CE_LTP_@11:15:30,PE_OI_@11:15:30,PE_CHOI_@11:15:30,PE_IV_@11:15:30,PE_LTP_@11:15:30,NIFTY@11:15:30,CE_VOL_@11:15:30,PE_VOL_@11:15:30,CE_LTP_CHG_@11:15:30,PE_LTP_CHG_@11:15:30,CE_OI_@11:20:30,CE_CHOI_@11:20:30,CE_IV_@11:20:30,CE_LTP_@11:20:30,PE_OI_@11:20:30,PE_CHOI_@11:20:30,PE_IV_@11:20:30,PE_LTP_@11:20:30,NIFTY@11:20:30,CE_VOL_@11:20:30,PE_VOL_@11:20:30,CE_LTP_CHG_@11:20:30,PE_LTP_CHG_@11:20:30,CE_OI_@11:26:30,CE_CHOI_@11:26:30,CE_IV_@11:26:30,CE_LTP_@11:26:30,PE_OI_@11:26:30,PE_CHOI_@11:26:30,PE_IV_@11:26:30,PE_LTP_@11:26:30,NIFTY@11:26:30,CE_VOL_@11:26:30,PE_VOL_@11:26:30,CE_LTP_CHG_@11:26:30,PE_LTP_CHG_@11:26:30,CE_OI_@11:30:30,CE_CHOI_@11:30:30,CE_IV_@11:30:30,CE_LTP_@11:30:30,PE_OI_@11:30:30,PE_CHOI_@11:30:30,PE_IV_@11:30:30,PE_LTP_@11:30:30,NIFTY@11:30:30,CE_VOL_@11:30:30,PE_VOL_@11:30:30,CE_LTP_CHG_@11:30:30,PE_LTP_CHG_@11:30:30,CE_OI_@11:37:00,CE_CHOI_@11:37:00,CE_IV_@11:37:00,CE_LTP_@11:37:00,PE_OI_@11:37:00,PE_CHOI_@11:37:00,PE_IV_@11:37:00,PE_LTP_@11:37:00,NIFTY@11:37:00,CE_VOL_@11:37:00,PE_VOL_@11:37:00,CE_LTP_CHG_@11:37:00,PE_LTP_CHG_@11:37:00,CE_OI_@11:41:00,CE_CHOI_@11:41:00,CE_IV_@11:41:00,CE_LTP_@11:41:00,PE_OI_@11:41:00,PE_CHOI_@11:41:00,PE_IV_@11:41:00,PE_LTP_@11:41:00,NIFTY@11:41:00,CE_VOL_@11:41:00,PE_VOL_@11:41:00,CE_LTP_CHG_@11:41:00,PE_LTP_CHG_@11:41:00,CE_OI_@11:45:30,CE_CHOI_@11:45:30,CE_IV_@11:45:30,CE_LTP_@11:45:30,PE_OI_@11:45:30,PE_CHOI_@11:45:30,PE_IV_@11:45:30,PE_LTP_@11:45:30,NIFTY@11:45:30,CE_VOL_@11:45:30,PE_VOL_@11:45:30,CE_LTP_CHG_@11:45:30,PE_LTP_CHG_@11:45:30,CE_OI_@11:52:00,CE_CHOI_@11:52:00,CE_IV_@11:52:00,CE_LTP_@11:52:00,PE_OI_@11:52:00,PE_CHOI_@11:52:00,PE_IV_@11:52:00,PE_LTP_@11:52:00,NIFTY@11:52:00,CE_VOL_@11:52:00,PE_VOL_@11:52:00,CE_LTP_CHG_@11:52:00,PE_LTP_CHG_@11:52:00,CE_OI_@11:56:00,CE_CHOI_@11:56:00,CE_IV_@11:56:00,CE_LTP_@11:56:00,PE_OI_@11:56:00,PE_CHOI_@11:56:00,PE_IV_@11:56:00,PE_LTP_@11:56:00,NIFTY@11:56:00,CE_VOL_@11:56:00,PE_VOL_@11:56:00,CE_LTP_CHG_@11:56:00,PE_LTP_CHG_@11:56:00
11500,11500,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,225.0,225.0,57.81,1.0,14024.6,,6.0,,-319.3,,,,,225.0,225.0,57.94,1.0,14027.65,,6.0,,-319.3,,,,,225.0,225.0,57.94,1.0,14020.1,,6.0,,-319.3,,,,,225.0,225.0,57.75,1.0,14024.3,,6.0,,-319.3,,,,,225.0,225.0,57.75,1.0,14026.15,,6.0,,-319.3,,,,,225.0,225.0,57.8,1.0,14023.3,,6.0,,-319.3,,,,,225.0,225.0,57.8,1.0,14026.65,,6.0,,-319.3,,,,,225.0,225.0,58.03,1.0,14033.5,,6.0,,-319.3,,,,,300.0,300.0,58.03,1.0,14028.75,,10.0,,-319.3,,,,,300.0,300.0,57.84,1.0,14025.2,,10.0,,-319.3,,,,,525.0,525.0,57.84,1.0,14033.75,,14.0,,-319.3,,,,,525.0,525.0,57.99,1.0,14029.35,,14.0,,-319.3,,,,,525.0,525.0,57.99,1.0,14032.5,,14.0,,-319.3,,,,,525.0,525.0,57.96,1.0,14028.95,,14.0,,-319.3,,,,,525.0,525.0,57.96,1.0,14030.05,,14.0,,-319.3,,,,,525.0,525.0,57.85,1.0,14025.05,,14.0,,-319.3,,,,,525.0,525.0,57.85,1.0,14028.6,,14.0,,-319.3,,,,,825.0,825.0,57.98,1.0,14033.55,,14.0,,-319.3,,,,,825.0,825.0,57.98,1.0,14030.55,,17.0,,-319.3,,,,,1050.0,1050.0,57.62,0.95,14030.3,,37.0,,-319.35,,,,,1050.0,1050.0,57.62,0.95,14033.2,,37.0,,-319.35,,,,,1050.0,1050.0,57.55,0.95,14025.7,,37.0,,-319.35,,,,,1050.0,1050.0,57.55,0.95,14020.25,,37.0,,-319.35,,,,,2025.0,2025.0,57.49,0.9,14017.5,,48.0,,-319.4,,,,,2550.0,2550.0,57.49,1.0,14013.65,,54.0,,-319.3
11550,11550,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11600,11600,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11650,11650,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11700,11700,,,,,150.0,75.0,55.5,1.5,14021.4,,3.0,,-4.15,,,,,150.0,75.0,55.66,1.5,14031.85,,3.0,,-4.15,,,,,150.0,75.0,55.73,1.5,14027.9,,3.0,,-4.15,,,,,150.0,75.0,55.62,1.5,14024.6,,3.0,,-4.15,,,,,150.0,75.0,55.76,1.5,14027.65,,3.0,,-4.15,,,,,150.0,75.0,55.76,1.5,14020.1,,3.0,,-4.15,,,,,150.0,75.0,55.56,1.5,14024.3,,3.0,,-4.15,,,,,150.0,75.0,55.56,1.5,14026.15,,3.0,,-4.15,,,,,150.0,75.0,55.61,1.5,14023.3,,3.0,,-4.15,,,,,150.0,75.0,55.61,1.5,14026.65,,3.0,,-4.15,,,,,150.0,75.0,55.85,1.5,14033.5,,3.0,,-4.15,,,,,150.0,75.0,55.85,1.5,14028.75,,3.0,,-4.15,,,,,150.0,75.0,55.65,1.5,14025.2,,3.0,,-4.15,,,,,150.0,75.0,55.65,1.5,14033.75,,3.0,,-4.15,,,,,150.0,75.0,55.81,1.5,14029.35,,3.0,,-4.15,,,,,150.0,75.0,55.81,1.5,14032.5,,3.0,,-4.15,,,,,150.0,75.0,55.78,1.5,14028.95,,3.0,,-4.15,,,,,150.0,75.0,55.78,1.5,14030.05,,3.0,,-4.15,,,,,150.0,75.0,55.66,1.5,14025.05,,3.0,,-4.15,,,,,150.0,75.0,55.66,1.5,14028.6,,3.0,,-4.15,,,,,150.0,75.0,55.8,1.5,14033.55,,3.0,,-4.15,,,,,150.0,75.0,55.8,1.5,14030.55,,3.0,,-4.15,,,,,150.0,75.0,55.74,1.5,14030.3,,3.0,,-4.15,,,,,150.0,75.0,55.74,1.5,14033.2,,3.0,,-4.15,,,,,150.0,75.0,55.66,1.5,14025.7,,3.0,,-4.15,,,,,150.0,75.0,55.66,1.5,14020.25,,3.0,,-4.15,,,,,150.0,75.0,55.6,1.5,14017.5,,3.0,,-4.15,,,,,150.0,75.0,55.6,1.5,14013.65,,3.0,,-4.15
11750,11750,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11800,11800,300.0,,,,15825.0,,50.63,0.95,14021.4,,1.0,,0.2,300.0,,,,15825.0,,50.78,0.95,14031.85,,1.0,,0.2,300.0,,,,15825.0,,50.85,0.95,14027.9,,21.0,,0.2,300.0,,,,15825.0,,50.75,0.9,14024.6,,28.0,,0.15,300.0,,,,15825.0,,51.15,1.0,14027.65,,29.0,,0.25,300.0,,,,15825.0,,51.15,1.0,14020.1,,29.0,,0.25,300.0,,,,15825.0,,50.96,1.0,14024.3,,29.0,,0.25,300.0,,,,15825.0,,50.96,0.75,14026.15,,30.0,,,300.0,,,,15825.0,,49.54,0.75,14023.3,,30.0,,,300.0,,,,15825.0,,49.54,0.75,14026.65,,30.0,,,300.0,,,,15825.0,,49.77,0.75,14033.5,,30.0,,,300.0,,,,15825.0,,49.77,0.75,14028.75,,30.0,,,300.0,,,,15825.0,,49.58,0.75,14025.2,,30.0,,,300.0,,,,15825.0,,49.58,0.75,14033.75,,30.0,,,300.0,,,,15825.0,,49.73,0.75,14029.35,,30.0,,,300.0,,,,15825.0,,49.73,0.75,14032.5,,30.0,,,300.0,,,,15825.0,,50.02,0.8,14028.95,,40.0,,0.05,300.0,,,,15825.0,,50.02,0.8,14030.05,,40.0,,0.05,300.0,,,,15825.0,,49.91,0.8,14025.05,,40.0,,0.05,300.0,,,,15825.0,,49.91,0.8,14028.6,,40.0,,0.05,300.0,,,,15825.0,,50.04,0.8,14033.55,,40.0,,0.05,300.0,,,,15825.0,,50.04,0.8,14030.55,,40.0,,0.05,300.0,,,,15825.0,,50.28,0.85,14030.3,,90.0,,0.1,300.0,,,,15825.0,,50.28,0.85,14033.2,,90.0,,0.1,300.0,,,,15825.0,,50.22,0.85,14025.7,,90.0,,0.1,300.0,,,,15825.0,,50.22,0.85,14020.25,,90.0,,0.1,300.0,,,,15825.0,,50.16,0.85,14017.5,,102.0,,0.1,300.0,,,,15825.0,,50.16,0.85,14013.65,,102.0,,0.1
11850,11850,,,,,75.0,,,,14021.4,,,,,,,,,75.0,,,,14031.85,,,,,,,,,75.0,,,,14027.9,,,,,,,,,75.0,,,,14024.6,,,,,,,,,75.0,,,,14027.65,,,,,,,,,75.0,,,,14020.1,,,,,,,,,75.0,,,,14024.3,,,,,,,,,75.0,,,,14026.15,,,,,,,,,75.0,,,,14023.3,,,,,,,,,75.0,,,,14026.65,,,,,,,,,75.0,,,,14033.5,,,,,,,,,75.0,,,,14028.75,,,,,,,,,75.0,,,,14025.2,,,,,,,,,75.0,,,,14033.75,,,,,,,,,75.0,,,,14029.35,,,,,,,,,75.0,,,,14032.5,,,,,,,,,75.0,,,,14028.95,,,,,,,,,75.0,,,,14030.05,,,,,,,,,75.0,,,,14025.05,,,,,,,,,75.0,,,,14028.6,,,,,,,,,75.0,,,,14033.55,,,,,,,,,75.0,,,,14030.55,,,,,,,,,75.0,,,,14030.3,,,,,,,,,75.0,,,,14033.2,,,,,,,,,75.0,,,,14025.7,,,,,,,,,75.0,,,,14020.25,,,,,,,,,75.0,,,,14017.5,,,,,,,,,75.0,,,,14013.65,,,,
11900,11900,450.0,,,,1875.0,75.0,50.45,1.4,14021.4,,2.0,,0.35,450.0,,,,1875.0,75.0,50.61,1.4,14031.85,,2.0,,0.35,450.0,,,,1875.0,75.0,50.68,1.4,14027.9,,2.0,,0.35,450.0,,,,1875.0,75.0,50.57,1.4,14024.6,,2.0,,0.35,450.0,,,,1875.0,75.0,50.71,1.4,14027.65,,2.0,,0.35,450.0,,,,1875.0,75.0,50.71,1.4,14020.1,,2.0,,0.35,450.0,,,,1875.0,75.0,50.51,1.4,14024.3,,2.0,,0.35,450.0,,,,1875.0,75.0,50.51,1.4,14026.15,,2.0,,0.35,450.0,,,,1875.0,75.0,50.56,1.4,14023.3,,2.0,,0.35,450.0,,,,1875.0,75.0,50.56,1.4,14026.65,,2.0,,0.35,450.0,,,,1875.0,75.0,50.8,1.4,14033.5,,2.0,,0.35,450.0,,,,1875.0,75.0,50.8,1.4,14028.75,,2.0,,0.35,450.0,,,,1875.0,75.0,50.61,1.4,14025.2,,2.0,,0.35,450.0,,,,1875.0,75.0,50.61,1.4,14033.75,,2.0,,0.35,450.0,,,,1875.0,75.0,50.76,1.4,14029.35,,2.0,,0.35,450.0,,,,1950.0,150.0,50.76,1.35,14032.5,,12.0,,0.3,450.0,,,,1950.0,150.0,50.53,1.35,14028.95,,12.0,,0.3,450.0,,,,1950.0,150.0,50.53,1.35,14030.05,,12.0,,0.3,450.0,,,,1950.0,150.0,50.41,1.35,14025.05,,12.0,,0.3,450.0,,,,1950.0,150.0,50.41,1.35,14028.6,,12.0,,0.3,450.0,,,,2700.0,900.0,50.55,1.35,14033.55,,12.0,,0.3,450.0,,,,2700.0,900.0,50.55,1.35,14030.55,,12.0,,0.3,450.0,,,,2700.0,900.0,50.49,1.35,14030.3,,12.0,,0.3,450.0,,,,2700.0,900.0,50.49,1.35,14033.2,,12.0,,0.3,450.0,,,,2700.0,900.0,50.41,1.35,14025.7,,12.0,,0.3,450.0,,,,2700.0,900.0,50.41,1.35,14020.25,,12.0,,0.3,450.0,,,,2700.0,900.0,50.35,1.35,14017.5,,12.0,,0.3,450.0,,,,2700.0,900.0,50.35,1.35,14013.65,,12.0,,0.3
11950,11950,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
12000,12000,19275.0,,,,271050.0,35700.0,46.67,1.05,14021.4,,1326.0,,-0.05,19275.0,,,,282450.0,47100.0,46.58,1.1,14031.85,,1436.0,,,19275.0,,,,282450.0,47100.0,46.9,1.15,14027.9,,1579.0,,0.05,19275.0,,,,282450.0,47100.0,47.25,1.15,14024.6,,1579.0,,0.05,19275.0,,,,282450.0,47100.0,47.38,1.05,14027.65,,1587.0,,-0.05,19275.0,,,,267375.0,32025.0,47.38,1.15,14020.1,,2008.0,,0.05,19275.0,,,,268425.0,33075.0,47.19,1.1,14024.3,,2029.0,,,19275.0,,,,268500.0,33150.0,47.19,1.1,14026.15,,2031.0,,,19275.0,,,2023.0,268350.0,33000.0,47.01,1.15,14023.3,1.0,2039.0,37.0,0.05,19275.0,,,2023.0,268350.0,33000.0,47.01,1.15,14026.65,1.0,2039.0,37.0,0.05,19200.0,-75.0,,2025.0,268425.0,33075.0,47.25,1.15,14033.5,7.0,2107.0,39.0,0.05,19200.0,-75.0,,2025.0,271800.0,36450.0,47.25,1.1,14028.75,7.0,2203.0,39.0,,19200.0,-75.0,,2025.0,274575.0,39225.0,46.82,1.05,14025.2,7.0,2205.0,39.0,-0.05,19200.0,-75.0,,2025.0,272025.0,36675.0,46.82,1.15,14033.75,7.0,2294.0,39.0,0.05,19200.0,-75.0,,2025.0,274125.0,38775.0,47.21,1.1,14029.35,7.0,2406.0,39.0,,19200.0,-75.0,,2025.0,274125.0,38775.0,47.21,1.1,14032.5,7.0,2406.0,39.0,,19200.0,-75.0,,2025.0,272625.0,37275.0,47.18,1.15,14028.95,7.0,2408.0,39.0,0.05,19200.0,-75.0,,2025.0,272550.0,37200.0,47.18,1.1,14030.05,7.0,2411.0,39.0,,19200.0,-75.0,,2025.0,272625.0,37275.0,47.06,1.1,14025.05,7.0,2423.0,39.0,,19200.0,-75.0,,2025.0,274275.0,38925.0,47.06,1.1,14028.6,7.0,2445.0,39.0,,19200.0,-75.0,,2025.0,274500.0,39150.0,47.42,1.15,14033.55,7.0,2451.0,39.0,0.05,19200.0,-75.0,,2025.0,274875.0,39525.0,47.42,1.15,14030.55,7.0,2492.0,39.0,0.05,19200.0,-75.0,,2025.0,275400.0,40050.0,47.13,1.1,14030.3,7.0,2496.0,39.0,,19200.0,-75.0,,2025.0,276675.0,41325.0,47.13,1.1,14033.2,7.0,2583.0,39.0,,19200.0,-75.0,,2025.0,276675.0,41325.0,47.29,1.15,14025.7,7.0,2588.0,39.0,0.05,19200.0,-75.0,,2025.0,277200.0,41850.0,47.29,1.1,14020.25,7.0,2672.0,39.0,,19200.0,-75.0,,2025.0,280650.0,45300.0,47.0,1.05,14017.5,7.0,2786.0,39.0,-0.05,19200.0,-75.0,,2025.0,280650.0,45300.0,47.0,1.05,14013.65,7.0,2786.0,39.0,-0.05
