time,CE_CHOI,PE_CHOI,PE_CE_CHOI_DIFF,PCR,nifty,CE_IO_INC,PE_IO_INC
09:17:20,264000.0,582525.0,318525.0,2.206534090909091,13166.15,3.557711744491611,8.299939088898151
09:34:50,922875.0,2613300.0,1690425.0,2.8316944331572533,13200.2,11.42260385240195,28.878795915661055
09:40:20,1094175.0,3075975.0,1981800.0,2.81122763726095,13196.75,13.26164222927215,32.33826138379657
09:44:20,1341000.0,3693375.0,2352375.0,2.754194630872483,13204.9,15.781112091791705,36.462382549590174
09:49:20,1513875.0,3917850.0,2403975.0,2.587961357443646,13202.2,17.46031746031746,37.839913074972834
09:55:50,1843425.0,4239975.0,2396550.0,2.300052890679035,13209.2,20.482670688922408,39.71547999578489
10:00:20,2000400.0,4549950.0,2549550.0,2.2745200959808036,13212.0,21.845821184025162,41.41645844427149
10:08:51,2159175.0,4996950.0,2837775.0,2.3142867067282644,13214.6,23.17786955856661,43.706949710702055
10:22:51,2704950.0,6327975.0,3623025.0,2.339405534298231,13233.3,27.429536224388904,49.57722478479302
10:26:21,2730225.0,6347025.0,3616800.0,2.3247259841221877,13220.75,27.61505958747715,49.652368295988595
10:31:51,2808075.0,6562650.0,3754575.0,2.3370636468043053,13239.25,28.1805797036,50.48755438106558
10:35:51,2879475.0,6801450.0,3921975.0,2.362045164483109,13239.6,28.691532212864225,51.38075218982652
10:41:52,2960475.0,7075950.0,4115475.0,2.39014009576166,13240.2,29.262452462321985,52.36847655946447
10:46:52,3042675.0,7302075.0,4259400.0,2.3998866129310557,13239.1,29.83255998646949,53.152484263510445
10:51:52,3011325.0,7650975.0,4639650.0,2.5407337301686135,13243.7,29.61621585737363,54.3127911619859
10:56:52,3074475.0,7775625.0,4701150.0,2.529090332495792,13238.6,30.0506549962247,54.71351596679456
11:01:52,3111975.0,7829325.0,4717350.0,2.5158701467717446,13231.45,30.30610679774747,54.883992366051004
11:07:22,3113925.0,7922325.0,4808400.0,2.5441605048291143,13239.35,30.319339267849188,55.17621433011393
11:11:52,3144525.0,8000025.0,4855500.0,2.544112385813438,13247.25,30.526331117534422,55.417474114059196
11:16:52,3238275.0,8162775.0,4924500.0,2.5207170484285615,13232.05,31.152910957668638,55.91449223987793
11:22:23,3265050.0,8191200.0,4926150.0,2.508751780217761,13225.2,31.32979259323229,56.000164079004044
11:28:23,3329775.0,8278050.0,4948275.0,2.4860688785278287,13220.45,31.75364941316149,56.2598758321185
11:31:53,3362100.0,8263650.0,4901550.0,2.457883465691086,13215.95,31.963379156922024,56.217027051848525
11:37:53,3571350.0,8375100.0,4803750.0,2.3450795917510185,13207.5,33.290454284875345,56.546485720072916
11:42:23,3853650.0,8312400.0,4458750.0,2.1570199680822078,13207.05,35.00088554651844,56.36175016781595
11:46:53,3899325.0,8269425.0,4370100.0,2.12073243445981,13214.35,35.269416800645814,56.234221276986396
11:52:23,3988200.0,8303250.0,4315050.0,2.081954265081992,13215.75,35.7856200705268,56.33465973275257
11:57:54,4095600.0,8376075.0,4280475.0,2.045139906240844,13218.55,36.39853893939798,56.54934605277149
12:01:24,4119300.0,8377725.0,4258425.0,2.0337739421746415,13206.45,36.53221944340978,56.554185758043694
12:06:54,4194075.0,8438400.0,4244325.0,2.011981187747,13209.85,36.95033071011821,56.73140920917287
12:12:54,4329600.0,8483625.0,4154025.0,1.9594477549889135,13213.8,37.6942565361611,56.86256767557948
12:17:54,4347825.0,8565075.0,4217250.0,1.9699677424919355,13211.6,37.79296047356103,57.09678870873394
12:22:24,4421175.0,8555400.0,4134225.0,1.9350964392949839,13206.5,38.18707123839631,57.06910007804527
12:27:24,4444650.0,8578575.0,4133925.0,1.9300901083324897,13209.1,38.312150088568806,57.135364373379694
12:31:54,4525650.0,8548275.0,4022625.0,1.888850220410328,13201.05,38.73987236938406,57.04868636411414
12:35:55,4499325.0,8373375.0,3874050.0,1.861029154373156,13196.55,38.601514693297126,56.54142420881508
12:42:25,4524300.0,8213175.0,3688875.0,1.8153471255221802,13189.25,38.73279227450175,56.06616800036862
12:48:25,4700625.0,8149725.0,3449100.0,1.7337534902273635,13186.4,39.64388500585091,55.875048206710375
12:51:55,4493400.0,7784100.0,3290700.0,1.732340766457471,13165.45,38.570288156979885,54.74050632911393
12:57:25,4600800.0,7387425.0,2786625.0,1.6056827073552427,13161.25,39.13143323722283,53.44173706398424
13:02:25,4827075.0,7173150.0,2346075.0,1.486024145056789,13173.0,40.2807592892772,52.708675476980396
13:08:25,4915575.0,7146450.0,2230875.0,1.4538380555682702,13184.35,40.7185591540808,52.6157108306
13:11:55,4961400.0,7094700.0,2133300.0,1.4299794412867335,13187.1,40.942737603050034,52.43448184116004
13:18:55,4955700.0,7069575.0,2113875.0,1.4265542708396393,13183.0,40.914945261802146,52.345993013944344
13:22:26,4979400.0,7179075.0,2199675.0,1.4417550307265936,13194.55,41.03033149580995,52.729255837781565
13:26:26,4956150.0,7279650.0,2323500.0,1.4688114766502225,13206.45,40.917140345011205,53.075888316545814
13:33:56,4945800.0,7505625.0,2559825.0,1.517575518621861,13206.5,40.86661213157829,53.8364705439326
13:40:56,4880100.0,7612125.0,2732025.0,1.559829716604168,13210.05,40.54384128408354,54.18644257822719
13:44:56,4850025.0,7647225.0,2797200.0,1.5767392951582724,13216.5,40.39491026754202,54.30062574890161
13:51:26,4827675.0,7687800.0,2860125.0,1.592443567555811,13208.25,40.28374919424992,54.431912317593834
13:54:26,4876950.0,7728150.0,2851200.0,1.5846276873865839,13195.3,40.52827742667315,54.56172493036949
