time,CE_CHOI,PE_CHOI,PE_CE_CHOI_DIFF,PCR,nifty,CE_IO_INC,PE_IO_INC
09:34:22,1537575.0,2512275.0,974700.0,1.633920296570899,13549.7,16.34118734855248,34.19840937630808
09:53:52,2286225.0,3877275.0,1591050.0,1.6959288783912345,13548.65,22.506977362335533,44.50920800006888
09:57:22,2550750.0,4239450.0,1688700.0,1.662040576301088,13549.2,24.47378836397654,46.724197788027574
10:03:22,2740725.0,4459500.0,1718775.0,1.627124209834989,13545.6,25.82580672518339,47.98566724772419
10:06:52,2783175.0,4543650.0,1760475.0,1.6325419709504434,13549.45,26.1213255997297,48.45242094150391
10:12:53,2706900.0,4806075.0,2099175.0,1.7754904133880085,13559.0,25.58863357604203,49.85567908630468
10:17:23,2726700.0,5065350.0,2338650.0,1.8576851138739134,13557.4,25.7276503598446,51.169027956663385
10:22:23,2769975.0,5219475.0,2449500.0,1.884304009963989,13571.05,26.029685385656293,51.91763959864225
10:27:53,2762175.0,5529075.0,2766900.0,2.001710608487876,13568.7,25.975427410709244,53.35412852004371
10:33:53,2744400.0,5813850.0,3069450.0,2.1184411893310013,13571.0,25.85148395939158,54.601676410509256
10:37:53,2811900.0,5938125.0,3126225.0,2.1117838472207406,13576.4,26.319964618419483,55.125429062780675
10:42:53,2850675.0,6148650.0,3297975.0,2.15691020547765,13563.15,26.586413362804624,55.9856317521887
10:47:24,2898900.0,6200850.0,3301950.0,2.139035496222705,13559.35,26.91512252188264,56.19384218038469
10:53:24,3005400.0,6303900.0,3298500.0,2.0975244559792374,13564.15,27.630717038896208,56.599148844475565
10:58:24,3116175.0,6371100.0,3254925.0,2.0445257406917134,13561.75,28.360317807022334,56.859437751004016
11:03:24,3142800.0,6500025.0,3357225.0,2.0682273768613975,13563.35,28.533491307989294,57.35016774859548
11:07:24,3108600.0,6494850.0,3386250.0,2.089316734221193,13566.7,28.310895268539575,57.33068520357497
11:13:24,3235575.0,6512025.0,3276450.0,2.012632994135509,13553.75,29.130428910976665,57.39527627760628
11:16:54,3284250.0,6553875.0,3269625.0,1.9955469285224938,13555.55,29.439645030085043,57.551848363705815
11:24:24,3489000.0,6600675.0,3111675.0,1.8918529664660362,13548.45,30.711338504703743,57.725582280058504
11:47:25,4294650.0,6601575.0,2306925.0,1.5371625161538194,13533.3,35.299629508621166,57.72890938067724
11:59:55,4188525.0,6436050.0,2247525.0,1.536591043386395,13542.65,34.73028942426089,57.10806170391173
12:10:55,4245075.0,6537975.0,2292900.0,1.5401317997915231,13543.1,35.03491049543192,57.49249793899423
12:16:26,4279950.0,6607425.0,2327475.0,1.543808923001437,13552.1,35.22136019404892,57.750522775989666
12:21:26,4350450.0,6665025.0,2314575.0,1.5320311691893942,13548.65,35.59501966728236,57.96215733209844
12:25:26,4401525.0,6752850.0,2351325.0,1.5342068942014415,13548.75,35.86304249520294,58.28079487345459
12:30:56,4501125.0,6864975.0,2363850.0,1.5251687078230443,13555.15,36.379341698490634,58.6806423694586
12:36:26,4322850.0,6920100.0,2597250.0,1.600818904195149,13558.5,35.44925058274341,58.874425727411946
12:40:26,4323000.0,6976950.0,2653950.0,1.613913948646773,13560.75,35.45004458931702,59.07237836396195
12:46:56,3944250.0,7072200.0,3127950.0,1.7930405019965774,13559.2,33.38093877939636,59.39980346209086
12:50:26,3925200.0,7147800.0,3222600.0,1.8210027514521554,13564.65,33.27335956920612,59.655975362427704
12:56:26,4032750.0,7305450.0,3272700.0,1.8115305932676213,13559.95,33.87620097653174,60.179910785997606
13:01:56,4024275.0,7406250.0,3381975.0,1.8403936112715955,13551.4,33.82909237636497,60.50783691376331
13:05:56,3942375.0,7446975.0,3504600.0,1.8889565300104632,13556.3,33.3703656678517,60.63879813124065
13:11:57,4041075.0,7512000.0,3470925.0,1.8589113045414896,13546.15,33.922410536654155,60.846110854615695
13:17:27,4292625.0,7531200.0,3238575.0,1.7544509478465973,13547.6,35.288858745915284,60.90690734405706
13:21:27,4505550.0,7552200.0,3046650.0,1.6761993541299065,13544.1,36.40208690593774,60.97318768619663
13:25:57,4568550.0,7554450.0,2985900.0,1.6535771743769905,13544.45,36.72416183855935,60.9802758236569
13:31:57,4719525.0,7409850.0,2690325.0,1.5700414766316526,13525.25,37.48287487640128,60.51944869831547
13:34:57,4821900.0,7390425.0,2568525.0,1.532679026939588,13529.1,37.9870839660378,60.45671233380985
13:41:27,5126625.0,7408275.0,2281650.0,1.4450588837685612,13532.05,39.44088627315215,60.514369382891516
13:46:28,5281275.0,7562625.0,2281350.0,1.4319695528068506,13530.6,40.152932053007326,61.00600773200554
13:50:58,5418525.0,7608075.0,2189550.0,1.4040859828089747,13521.35,40.77098452613402,61.14845111005287
13:55:58,5574225.0,7572900.0,1998675.0,1.3585565706443496,13520.7,41.45684356139627,61.03830157655479
14:01:58,5977200.0,6939750.0,962550.0,1.161036940373419,13485.95,43.16034031768038,58.94306353594679
14:05:58,6408000.0,6318375.0,-89625.0,0.9860135767790262,13469.6,44.87512802331994,56.65548060821671
14:11:58,7003650.0,5294400.0,-1709250.0,0.7559486839005376,13468.5,47.08249091193272,52.27333313586683
14:15:58,7344075.0,5061300.0,-2282775.0,0.6891677985314693,13431.3,48.266428754510144,51.14904195973805
14:20:29,7412250.0,4637325.0,-2774925.0,0.6256298694728322,13408.8,48.497190666633955,48.96225145110585
14:25:59,7803900.0,4351875.0,-3452025.0,0.5576538653750048,13438.2,49.783978527034975,47.376242069939664
